运行编号,任务序号,方块类别,托盘行,托盘列,高位检测像素X,高位检测像素Y,实测TCP位置X,实测TCP位置Y,实测TCP位置Z,affine_预测TCP_X,affine_预测TCP_Y,affine_预测TCP_Z,affine_OOF三维误差,homography_预测TCP_X,homography_预测TCP_Y,homography_预测TCP_Z,homography_OOF三维误差,poly2_预测TCP_X,poly2_预测TCP_Y,poly2_预测TCP_Z,poly2_OOF三维误差,poly3_预测TCP_X,poly3_预测TCP_Y,poly3_预测TCP_Z,poly3_OOF三维误差
20260719_145127_668001,22,square,8.5,9.5,861.16064453125,252.4290008544922,-302.8284606933593,126.1162185668945,190.7241058349609,-302.76168713506934,126.00775038814956,190.9890899751539,0.2940079054052165,-302.72611620534747,125.8747791596816,190.98734125707338,0.3715646229614177,-302.96722281079184,126.0064211391934,190.5467927086173,0.25050018989590117,-302.91424489159374,125.53999181549224,190.56796016187803,0.6031398419279133
20260719_145127_668001,23,L_yellow,10.0,1.0,504.8252868652344,196.0233154296875,-331.9247741699218,-44.1291389465332,189.6317749023437,-331.607004284824,-44.31238528363665,190.00291322649736,0.5218242765457712,-331.92213899288805,-44.53104140050145,190.00058937925002,0.5454875296827447,-331.9513543782648,-44.7548857978583,189.37115268489129,0.6783727365163191,-331.76425394170525,-44.903854021556064,189.34682509918255,0.8409200803024921
20260719_145127_668001,24,T,10.0,4.5,650.304443359375,193.3720245361328,-332.3607482910156,25.23602485656738,190.321044921875,-332.07796116007864,25.26457022507303,190.41651536845114,0.29982996123826755,-332.1797739454968,25.38188507739506,190.41625401414552,0.25118059042619617,-332.19802548350833,25.382748713212443,190.20461989238237,0.24811567802986004,-332.2023366967612,25.205440451103154,189.99842409832092,0.3607129535274988
20260719_145127_668001,25,z_blue,11.0,6.5,733.5804443359375,149.61138916015625,-352.4376220703125,65.68701934814453,190.2517700195312,-352.6524899948683,65.05143125058048,190.4213243719738,0.6920181595884896,-352.59249945595303,65.13943320469555,190.42049497250792,0.5935534506994081,-352.5666248618624,65.18402507504476,190.5173852194955,0.5832635711673768,-352.5586670030112,65.05508115205531,190.50524199168981,0.6915531795014106
20260719_145127_668001,26,line,10.0,8.5,818.2548828125,190.03253173828125,-332.6734008789062,104.7628173828125,190.033981323242,-332.77360292211887,105.61177401785127,191.03329632969218,1.3150658917928393,-332.7260429681697,105.59050118169051,191.03212229263656,1.2977353564078828,-332.81738724129355,105.73045568554393,190.9156710831359,1.3169786597239423,-332.7012396286214,105.7033858151729,190.8063555376161,1.217376646304922
20260719_145127_668001,27,z_blue,11.0,2.5,566.4390869140625,153.24014282226562,-352.0854187011718,-14.95479869842529,189.6050872802734,-351.80213441561165,-14.814974423744085,190.15530163143004,0.6344577578169949,-351.9425515830934,-14.80510217407761,190.15498841164086,0.5875468637555702,-351.95351102082066,-14.948791757165548,189.990079577606,0.4070071110980074,-352.00585506959027,-15.062033947960321,189.7182185319435,0.17500985777300684
20260719_145127_668001,28,L_yellow,12.0,8.0,795.9614868164062,106.56511688232422,-371.8850708007812,94.71640014648438,192.1581573486328,-372.9910451342244,95.01044800900343,190.7017976618405,1.8521951595339579,-372.8463287325866,95.00902497492143,190.70104170311208,1.7699808208276975,-372.80935506425794,95.09287281522052,190.89914937783297,1.6065908441646268,-372.77447408796655,95.11881408145236,190.64767490728735,1.7984805775780504
20260719_145127_668001,29,z_green,12.0,9.5,858.8574829101562,105.65296173095705,-373.0275573730468,124.9393463134765,190.202178955078,-372.91970677875406,125.1301909315241,191.04197020450465,0.867930159368015,-372.56586606784583,124.95390589297148,191.03930571954174,0.9561129966875143,-372.63564396760154,125.09493598075626,191.47513592784003,1.3409786413046931,-372.543854162101,124.9313030363014,191.44511361568425,1.3337616208016114
20260719_145127_668001,30,square,12.5,1.5,524.2689208984375,91.8775863647461,-381.4786071777343,-35.20034790039062,189.8516235351562,-381.4070108772905,-34.90187064323896,189.85196825484934,0.3069443306296602,-381.7547360228159,-34.958185510088654,189.85099709952442,0.3672739505933579,-381.69884465734964,-35.36357203346855,189.78521787624442,0.28205739944532315,-381.63653283369723,-35.12193164831929,190.56343114697376,0.7333210058641794
20260719_145127_668001,31,z_green,13.0,3.5,606.907470703125,68.83535766601562,-392.0086364746093,4.130574703216552,190.6363220214843,-391.92418853521735,4.693064279504602,190.34172043564683,0.6405591871780489,-392.1916799352263,4.752829788510418,190.34022575993606,0.713007219985577,-392.0040563060107,4.5602317519387405,190.3327549582314,0.5260980130669975,-392.126258750882,4.727295013670371,190.43986718244253,0.6391436713029385
20260719_145127_668001,32,line,12.5,5.0,669.8211669921875,88.49667358398438,-382.2572937011718,34.42050170898437,190.5267028808593,-382.2007968670114,34.73060445677073,190.34563281429914,0.3635133772764094,-382.2650695290869,34.844929676233335,190.3447748347049,0.4618412896877084,-382.15566772995174,34.802005398626775,190.88956984412962,0.5362325393616357,-382.1427293303654,34.72555774702139,190.5730097404467,0.3291329619560539
20260719_145127_668001,33,z_blue,13.0,6.5,732.439453125,66.26007080078125,-392.4526062011718,65.07250213623047,190.4447784423828,-392.64089121248884,64.68369315975966,190.49102814731037,0.43446829674536447,-392.5592607511238,64.76161929939158,190.49089404258817,0.3318885051470695,-392.36756260164196,64.72138437738573,190.94819905721826,0.6196357073623548,-392.38548162584226,64.83593767911532,191.00236681423632,0.6094040067226423
20260719_145127_668001,34,L_blue,14.0,9.0,836.3265380859375,22.901275634765625,-412.4518432617187,114.9498214721679,192.3197174072265,-412.7837452453804,114.30006064246763,190.61152128445835,1.8574934875825293,-412.2325392997519,114.10724536581876,190.6081274255104,1.9203043998897102,-412.1081698765573,113.91511567833153,191.40247125028438,1.4248045437504469,-412.0037704723841,114.39359236820926,191.3835354584622,1.177538399299514
