运行编号,任务序号,方块类别,高位检测像素X,高位检测像素Y,实测TCP位置X,实测TCP位置Y,实测TCP位置Z,affine_预测TCP_X,affine_预测TCP_Y,affine_预测TCP_Z,affine_OOF三维误差,homography_预测TCP_X,homography_预测TCP_Y,homography_预测TCP_Z,homography_OOF三维误差,poly2_预测TCP_X,poly2_预测TCP_Y,poly2_预测TCP_Z,poly2_OOF三维误差,poly3_预测TCP_X,poly3_预测TCP_Y,poly3_预测TCP_Z,poly3_OOF三维误差
20260719_145127_668001,24,T,121.0,458.0,-207.7753295898437,-230.9450378417968,196.352783203125,-208.3500831081252,-228.72297737356743,196.9734421206796,2.37762735162277,-207.43958802027862,-230.04118059215213,196.95973085672244,1.1393268993035623,-207.34918745135306,-230.33707685707626,196.69464699282287,0.8173643813173657,-207.42232434766382,-230.74304040135507,196.00652810168472,0.5341425485999913
20260719_145127_668001,25,z_blue,1191.0,399.0,-231.854049682617,279.1114807128906,201.2086639404297,-230.89340174396,280.1807324509999,202.11429315107597,1.6989137731714032,-231.526533301881,279.3478732456139,202.10626689699285,0.9842964374662112,-231.03969121638286,279.24233110479184,201.67026660940724,0.9451870505858064,-230.94739347086022,279.04845197940097,201.65347925436976,1.0118590668062657
20260719_145127_668001,26,line,1020.0,129.0,-359.8590087890625,200.1674194335937,201.20361328125,-360.43984961148726,199.60324383471107,201.09136490817872,0.8174777456462007,-359.6611963284277,200.25714946843445,201.09976005005572,0.24076283426726636,-359.96571869642554,200.4022349399106,201.3268946571625,0.2858734404997819,-359.6694237988147,200.03121486321058,201.2173454921964,0.23384338164246013
20260719_145127_668001,27,z_blue,369.0,96.0,-380.5260925292968,-108.754409790039,197.66943359375,-379.3584465162413,-110.04074328675388,197.9226655175874,1.7556131361508778,-379.92127034927927,-109.09127533838793,197.93126385002918,0.7401644075533662,-379.90145187222,-108.96279460928174,198.22977000124817,0.8646253945681727,-379.7114943195609,-108.58159630869169,198.34826175309664,1.0743567436202193
20260719_145127_668001,28,L_yellow,212.0,98.0,-379.484649658203,-184.6176147460937,197.0047454833984,-379.21947650402774,-184.51388750402054,197.20369196606103,0.34735550291767747,-380.2393735549984,-185.2552558535402,197.19380525203945,1.005951260458591,-379.7941740635683,-185.39264986091402,197.00028903968672,0.8345685391936565,-379.8381749293116,-185.50567177289636,196.92751855672364,0.958952239879356
20260719_145127_668001,29,z_green,972.0,81.0,-382.4164428710937,177.2765502929687,201.410202026367,-383.58354375456656,176.83107446248533,200.62842227685576,1.47368679321416,-382.7958129456586,178.0482566246368,200.64335783225934,1.152172874983886,-383.30672050841264,178.23942716666758,201.12539928716313,1.3419533321514456,-383.11945611873233,177.8493997058277,200.43734484454615,1.3299756284942652
20260719_145127_668001,30,square,407.0,176.0,-341.11376953125,-90.51924896240234,198.365036010742,-341.1314165383932,-91.74459056421955,198.11926756478843,1.2498702280762972,-341.4902494704673,-90.81911885642859,198.1282335862472,0.5364088797018308,-341.6465345801981,-90.67984947028208,198.3364331036665,0.5571797257663332,-341.38501243960815,-90.61318043801941,198.51115559587134,0.3220974551351826
20260719_145127_668001,31,z_green,399.0,306.0,-279.6478271484375,-95.06535339355467,199.064498901367,-279.32635489266096,-96.16341638750635,198.14402123752262,1.4684569723204521,-279.19203386576794,-95.1075061547987,198.1535733584864,1.019465407200994,-279.46622760412566,-94.62386507100082,198.24570015928646,0.9477983506412855,-279.59827461910737,-94.22206138483389,198.4100425565735,1.06860187739672
20260719_145127_668001,32,line,275.0,38.0,-408.6815795898437,-154.0393676757812,197.9784393310547,-407.3825604429718,-154.45741785948482,197.3531416167889,1.5010709282044152,-408.40242931025836,-154.4443155877081,197.3498893039627,0.7981120388290595,-407.93143151260443,-154.77416609407516,197.17203180856083,1.3239878948267416,-408.2141404788732,-154.82017874798382,197.10229217148003,1.2632494204114317
20260719_145127_668001,33,z_blue,1108.0,38.0,-402.7892150878906,241.7965698242187,201.1371002197265,-403.2530928855581,241.57416916322924,201.39633953914836,0.576063963385722,-401.859493775565,241.46022130981694,201.39995661088835,1.023037401128315,-402.45085746073613,241.31831784493033,201.55451959313066,0.7193398173603157,-402.3421061217846,242.14322580899415,202.8529273762927,1.806693009496391
20260719_145127_668001,34,L_blue,1095.0,201.0,-325.7032775878906,235.4972991943359,200.862106323242,-325.65831582468843,235.18324982565295,201.5557391712888,0.7627418265769456,-325.3226156396297,235.11521018329157,201.55685324428995,0.8795276092996016,-325.3303502024232,235.1236778583685,201.51712101037384,0.8412561903963036,-325.1363425952733,234.97709440839182,201.56255898246434,1.0405105636103982
