测量时间,运动类型,轮次,本轮序号,距离_mm,目标_X_mm,目标_Y_mm,目标_Z_mm,运动速度_%,加速度_%,控制器返回值,运动调用耗时_s,首次满足停稳条件总耗时_s,确认停稳总耗时_s,调用返回后等待_s,采样次数,最终位置误差_mm,最终姿态误差_deg,最终线速度_mm_s,最终姿态速度_deg_s
2026-08-12T13:30:33,MoveL,4,1,450.0,-337.4151306152343,225.0,330.0,100.0,100.0,0,0.9806463190016075,1.1304324090015143,1.147637845000645,0.16095064600085607,16,0.6983235311809821,0.04611968994140625,2.67666474952625,0.3755934512561577
2026-08-12T13:30:35,MoveL,4,2,400.0,-337.4151306152343,175.0,330.0,100.0,100.0,0,0.9032148870010133,1.0900156469997455,1.1072079010009475,0.19796530199892004,19,0.721578870372226,0.0583038330078125,2.521873483249676,0.35149283729944686
2026-08-12T13:30:38,MoveL,4,3,350.0,-337.4151306152343,125.0,330.0,100.0,100.0,0,0.8449869460000627,1.0070613120005873,1.023318195999309,0.17255247899993265,16,0.6173986281022894,0.0513458251953125,1.229921107432779,0.155971461143585
2026-08-12T13:30:40,MoveL,4,4,300.0,-337.4151306152343,75.0,330.0,100.0,100.0,0,0.7815877749999345,0.9324079219986743,0.9502115489995049,0.16267774799962353,15,0.5751007357320577,0.05525970458984375,1.97761926959295,0.2968503419519164
2026-08-12T13:30:42,MoveL,4,5,250.0,-337.4151306152343,25.0,330.0,100.0,100.0,0,0.721236699999281,0.875327527999616,0.8907406870002887,0.1642228820001037,16,0.50468535455634,0.04698944091796875,2.697233030039745,0.4412483094800744
2026-08-12T13:30:44,MoveL,4,6,200.0,-337.4151306152343,-25.0,330.0,100.0,100.0,0,0.6686561189999338,0.7917811059996893,0.8081354750011087,0.13405990300088888,13,0.47801874599567473,0.04785919189453125,2.372062630396045,0.397654185527987
2026-08-12T13:30:45,MoveL,4,7,150.0,-337.4151306152343,-75.0,330.0,100.0,100.0,0,0.5928454429995327,0.7090654080002423,0.7347679320009775,0.1362998750009865,14,0.431280157192436,0.04177093505859375,2.19097933631208,0.2840437755331437
2026-08-12T13:30:47,MoveL,4,8,100.0,-337.4151306152343,-125.0,330.0,100.0,100.0,0,0.5015157729994826,0.61414529799913,0.6330571279995638,0.12483402199904958,12,0.28924293178746313,0.02001190185546875,1.880791834483114,0.4643595893441568
2026-08-12T13:30:48,MoveL,4,9,80.0,-337.4151306152343,-145.0,330.0,100.0,100.0,0,0.45479972300017835,0.5587826680002763,0.576698277000105,0.1154942379998829,11,0.23546410526999123,0.02349853515625,2.010186639697636,0.3707346652722709
2026-08-12T13:30:49,MoveL,4,10,60.0,-337.4151306152343,-165.0,330.0,100.0,100.0,0,0.4083029949997581,0.5097099209997396,0.5273446020000847,0.11211610799909977,11,0.12617111061883932,0.00478363037109375,2.555868575732406,0.5235878858402201
2026-08-12T13:30:50,MoveL,4,11,40.0,-337.4151306152343,-185.0,330.0,100.0,100.0,0,0.33749684800022806,0.4631196490008733,0.5149117990004015,0.17214193899962993,16,0.1589664811473042,0.0150146484375,0.39228147714383876,0.11128414250522307
2026-08-12T13:30:51,MoveL,4,12,30.0,-337.4151306152343,-195.0,330.0,100.0,100.0,0,0.29912201300066954,0.428900077000435,0.493612848000339,0.18874904299991613,17,0.08643200011426579,0.0026092529296875,1.109308717654909,0.2185002707765291
2026-08-12T13:30:52,MoveL,4,13,20.0,-337.4151306152343,-205.0,330.0,100.0,100.0,0,0.2270265980005206,0.3652803450004285,0.38369620500088786,0.15040251500067825,14,0.15217037376397963,0.0128326416015625,2.639675689934809,0.5647634459897798
2026-08-12T13:30:53,MoveL,4,14,15.0,-337.4151306152343,-210.0,330.0,100.0,100.0,0,0.1790578669988463,0.3434328610001103,0.36081235699930403,0.17584543600059988,16,0.13606660141251167,0.011444091796988687,1.549013616174584,0.08947666537801811
2026-08-12T13:30:53,MoveL,4,15,10.0,-337.4151306152343,-215.0,330.0,100.0,100.0,0,0.14714748899859842,0.2856331240000145,0.30273429399858287,0.1496835830002965,14,0.2593924451901399,0.020233154296875,2.707619987667407,0.08121607419711233
2026-08-12T13:30:54,MoveL,4,16,5.0,-337.4151306152343,-220.0,330.0,100.0,100.0,0,0.10725813699900755,0.278533470000184,0.3338917429991852,0.2194503110004007,20,0.14642910550438756,0.01413726806640625,2.879153975331926,0.5266433659002607
